Events,results,white_elo,black_elo,white_rating_diff,black_rating_diff,ecos,openings,time_control,termination,game_id
Rated Blitz game,1-0,1879,1232,1,-1,A23,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",60+10,Normal,3830
Rated Blitz game,1-0,1440,1296,7,-8,B30,Sicilian Defense: Old Sicilian,420+1,Normal,3831
Rated Classical game,0-1,1276,1284,-11,13,A40,"Englund Gambit Declined, Reversed French",600+10,Time forfeit,3832
Rated Classical game,1-0,1311,1297,13,-12,C45,Scotch Game,540+0,Normal,3838
Rated Classical game,0-1,1507,1428,-16,13,B40,Sicilian Defense: French Variation,600+10,Normal,3839
Rated Blitz game,1-0,1244,1587,22,-20,C22,Center Game: Normal Variation,60+10,Normal,3841
Rated Blitz game,0-1,1431,1424,-11,27,B01,Scandinavian Defense: Main Line,420+1,Time forfeit,3842
Rated Blitz game,1-0,1608,1115,2,-2,B21,Sicilian Defense: Smith-Morra Gambit #2,240+0,Normal,3843
Rated Blitz game,1-0,1427,1145,4,-6,B10,Caro-Kann Defense,420+1,Time forfeit,3844
Rated Blitz game,0-1,1587,1244,-20,22,C50,Italian Game,60+10,Normal,3845
Rated Blitz game,0-1,1745,1433,-84,18,D01,Queen's Pawn Game: Chigorin Variation,180+0,Normal,3846
Rated Bullet game,1-0,1425,1210,6,-43,A03,Bird Opening: Dutch Variation,60+0,Time forfeit,3847
Rated Bullet game,1-0,1265,1146,10,-16,A10,English Opening,120+0,Time forfeit,3848
Rated Blitz game,0-1,1456,1277,-16,19,B30,Sicilian Defense: Old Sicilian,420+1,Normal,3849
Rated Blitz game,1-0,1575,1288,4,-4,B32,Sicilian Defense: Open,300+4,Normal,3852
Rated Blitz game,0-1,1567,1432,-15,16,B01,Scandinavian Defense,0+10,Normal,3855
Rated Classical game,1-0,1532,1375,7,-40,B30,Sicilian Defense: Old Sicilian,300+8,Time forfeit,3856
Rated Blitz game,0-1,1447,1113,-20,32,B01,Scandinavian Defense: Mieses-Kotroc Variation,420+1,Time forfeit,3857
Rated Blitz game,0-1,1266,1448,-7,5,D00,Blackmar-Diemer Gambit,60+10,Time forfeit,3858
Rated Classical game,1-0,1892,1755,7,-44,C42,Russian Game: Urusov Gambit,540+5,Time forfeit,3859
Rated Classical game,0-1,1390,1552,-7,6,C55,Italian Game: Anti-Fried Liver Defense,300+5,Normal,3860
Rated Bullet game,1-0,1275,1235,13,-16,A10,English Opening: Anglo-Scandinavian Defense,120+0,Normal,3861
Rated Blitz game,1/2-1/2,2064,1887,-5,5,C02,"French Defense: Advance Variation, Nimzowitsch System",180+2,Normal,3866
Rated Bullet game,0-1,1816,1974,-7,6,A43,Franco-Benoni Defense,60+1,Normal,3867
Rated Classical game,1-0,1441,1209,5,-16,A00,Van't Kruijs Opening,600+10,Time forfeit,3869
Rated Blitz game,1-0,1686,1387,13,-3,A45,Indian Game,180+0,Normal,3870
Rated Blitz game,1-0,1345,1453,20,-14,A10,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",300+0,Time forfeit,3871
Rated Bullet game,1-0,2068,1309,0,-1,D20,Queen's Gambit Accepted,120+0,Time forfeit,3876
Rated Classical game,1-0,1383,1234,7,-8,C40,King's Pawn Game: Damiano Defense,300+5,Time forfeit,3878
Rated Bullet game,0-1,1409,1733,-45,5,A00,Van't Kruijs Opening,60+0,Time forfeit,3880
Rated Bullet game,1-0,1546,1416,8,-8,B06,Modern Defense,60+0,Time forfeit,3882
Rated Bullet game,0-1,1738,1980,-6,4,B16,Caro-Kann Defense: Bronstein-Larsen Variation,60+0,Normal,3883
Rated Bullet game,0-1,1619,2068,-2,3,D31,Queen's Gambit Declined: Queen's Knight Variation,120+0,Normal,3884
Rated Bullet game,1-0,1984,1732,5,-6,C33,"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Defense",60+0,Time forfeit,3885
Rated Blitz game,0-1,1500,1231,-360,13,A00,Hungarian Opening,60+10,Time forfeit,3886
Rated Blitz game,0-1,1381,1490,-19,7,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",300+0,Time forfeit,3889
Rated Bullet game,1-0,1698,1364,4,-36,A00,Saragossa Opening,0+1,Normal,3890
Rated Blitz game,0-1,1431,1497,-10,9,A00,Van't Kruijs Opening,300+0,Normal,3891
Rated Bullet game,0-1,1562,1400,-18,18,A00,Van't Kruijs Opening,60+0,Normal,3892
Rated Bullet game,1-0,2071,1617,2,-2,E47,"Nimzo-Indian Defense: Normal Variation, Bishop Attack",120+0,Normal,3893
Rated Blitz game,1-0,1380,1269,33,-8,D02,Queen's Pawn Game: Chigorin Variation,60+10,Normal,3895
Rated Bullet game,1-0,1726,1432,5,-4,B01,Scandinavian Defense: Main Line,60+0,Normal,3896
Rated Bullet game,0-1,1418,1544,-9,8,A02,Bird Opening,60+0,Normal,3897
Rated Classical game,0-1,1297,1525,-9,5,A11,English Opening: Caro-Kann Defensive System,480+0,Normal,3902
Rated Classical game,0-1,1324,1285,-14,13,C44,Scotch Game,540+0,Normal,3903
Rated Blitz game,1-0,1470,1259,7,-6,A00,Mieses Opening,60+10,Normal,3904
Rated Classical game,0-1,1390,1319,-13,28,C42,Petrov's Defense,300+5,Normal,3905
Rated Bullet game,1-0,1552,1409,8,-7,B06,Modern Defense,60+0,Normal,3908
Rated Bullet game,0-1,1560,1402,-18,17,A00,Van't Kruijs Opening,60+0,Time forfeit,3909
Rated Blitz game,0-1,1261,1327,-10,32,B06,Robatsch (Modern) Defense,60+10,Normal,3913
Rated Blitz game,0-1,1371,1262,-15,16,A00,Mieses Opening,300+0,Time forfeit,3915
Rated Blitz game,0-1,1370,1253,-41,16,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",60+10,Normal,3916
Rated Blitz game,0-1,1717,1365,-68,24,A40,Queen's Pawn,180+0,Time forfeit,3919
Rated Classical game,1/2-1/2,1881,1899,1,-1,B32,Sicilian Defense: Loewenthal Variation,540+5,Normal,3922
Rated Blitz game,1-0,1389,1310,12,-13,A13,English Opening: Agincourt Defense,300+0,Time forfeit,3923
Rated Classical game,0-1,1209,1446,-30,5,A40,Horwitz Defense,600+10,Normal,3925
Rated Classical game,0-1,1377,1351,-12,17,B50,Sicilian Defense: Delayed Alapin,300+5,Normal,3926
Rated Blitz game,1-0,1681,1278,3,-2,D01,"Queen's Pawn Game: Veresov Attack, Classical Defense",300+0,Normal,3927
Rated Bullet game,1-0,1542,1419,9,-8,B06,Modern Defense,60+0,Time forfeit,3928
Rated Blitz game,1-0,1409,1363,10,-18,A00,Mieses Opening,240+4,Normal,3930
Rated Classical game,0-1,1179,1420,-25,8,D01,Queen's Pawn Game: Chigorin Variation,600+12,Normal,3931
Rated Blitz game,1-0,1401,1329,8,-23,C20,King's Pawn Game: Leonardis Variation,240+4,Normal,3932
Rated Blitz game,1-0,1356,1306,10,-23,C20,King's Pawn Game: Leonardis Variation,300+0,Normal,3933
Rated Classical game,0-1,1298,1500,-5,97,B10,Caro-Kann Defense,420+3,Time forfeit,3934
Rated Classical game,0-1,1310,1657,-3,3,B10,Caro-Kann Defense,540+0,Normal,3935
Rated Blitz game,0-1,1700,1413,-19,74,D01,"Queen's Pawn Game: Veresov Attack, Classical Defense",300+0,Time forfeit,3938
Rated Bullet game,0-1,1408,1554,-8,8,A02,Bird Opening,60+0,Time forfeit,3942
Rated Classical game,0-1,1307,1288,-13,20,C40,King's Pawn Game: Damiano Defense,540+0,Time forfeit,3943
Rated Blitz game,1-0,1671,1276,7,-3,D01,Queen's Pawn Game: Chigorin Variation,180+0,Time forfeit,3945
Rated Bullet game,0-1,1409,1552,-7,8,A02,Bird Opening,60+0,Time forfeit,3947
Rated Blitz game,1-0,1347,1251,16,-9,D00,"Queen's Pawn Opening: Veresov, Richter Attack",60+10,Normal,3949
Rated Bullet game,0-1,1411,1551,-7,7,A02,Bird Opening,60+0,Time forfeit,3950
Rated Bullet game,1-0,1558,1404,8,-8,A00,Van't Kruijs Opening,60+0,Time forfeit,3951
Rated Blitz game,0-1,1366,1241,-16,22,A00,Mieses Opening,300+0,Time forfeit,3952
Rated Blitz game,1/2-1/2,1262,1283,3,-2,D00,Queen's Pawn Game #2,180+0,Normal,3953
Rated Bullet game,1-0,1566,1396,6,-6,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",60+0,Time forfeit,3955
Rated Classical game,1-0,1545,1399,7,-7,C55,Italian Game: Anti-Fried Liver Defense,600+10,Normal,3956
Rated Classical game,1-0,1846,1882,43,-13,C46,Three Knights Opening,480+2,Normal,3957
Rated Bullet game,1-0,1572,1390,7,-6,A00,Van't Kruijs Opening,60+0,Normal,3958
Rated Classical game,1-0,1649,1428,6,-6,B01,Scandinavian Defense: Icelandic-Palme Gambit,60+15,Normal,3959
Rated Blitz game,0-1,1384,1345,-14,22,C41,"Philidor Defense: Hanham Variation, Schlechter Variation",300+0,Normal,3963
Rated Blitz game,1-0,1697,1202,1,-9,D00,Queen's Pawn Game: Chigorin Variation,300+0,Time forfeit,3966
Rated Blitz game,0-1,1715,1366,-55,21,D01,Queen's Pawn Game: Chigorin Variation,180+0,Time forfeit,3967
Rated Blitz game,0-1,1350,1370,-10,12,C20,King's Pawn Game: Leonardis Variation,300+0,Normal,3968
Rated Bullet game,1-0,1553,1307,5,-5,B06,Modern Defense,60+0,Time forfeit,3970
Rated Blitz game,1-0,1401,1367,12,-17,A20,English Opening: King's English Variation,300+0,Time forfeit,3973
Rated Classical game,1-0,1294,1130,7,-18,C43,"Russian Game: Modern Attack, Symmetrical Variation",540+0,Time forfeit,3974
Rated Bullet game,1-0,1384,1579,17,-19,B06,Modern Defense: Standard Line,60+0,Normal,3979
Rated Blitz game,1-0,1420,1379,8,-112,C41,Philidor Defense #3,420+1,Normal,3981
Rated Blitz game,1-0,1340,1265,8,-37,B10,Caro-Kann Defense: Breyer Variation,300+0,Time forfeit,3982
Rated Blitz game,0-1,1382,1368,-12,16,A00,Hungarian Opening: Indian Defense,300+0,Normal,3986
Rated Bullet game,1-0,1709,1401,4,-3,A00,Mieses Opening,60+0,Time forfeit,3987
Rated Bullet game,0-1,1401,1649,-4,7,A02,Bird Opening,60+0,Time forfeit,3988
Rated Bullet game,0-1,1567,1262,-20,23,C41,Philidor Defense #3,60+0,Time forfeit,3989
Rated Bullet game,1-0,1649,1401,7,-4,A00,Saragossa Opening,0+1,Time forfeit,3990
Rated Bullet game,1-0,1713,1398,3,-4,A00,Saragossa Opening,0+1,Time forfeit,3991
Rated Blitz game,1-0,1665,1228,5,-8,C00,Rat Defense: Small Center Defense,180+0,Time forfeit,3992
Rated Blitz game,1-0,1660,1192,5,-12,D00,Queen's Pawn Game: Chigorin Variation,180+0,Normal,3993
Rated Blitz game,1-0,1180,1267,78,-108,B02,Alekhine Defense,300+0,Normal,3994
Rated Bullet game,0-1,1398,1578,-7,6,A03,Bird Opening: Dutch Variation,60+0,Time forfeit,3997
Rated Blitz game,1-0,1258,1387,87,-14,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",300+0,Normal,3998
Rated Bullet game,1-0,1584,1394,6,-6,C42,Russian Game: Cozio (Lasker) Attack,60+0,Time forfeit,3999
Rated Bullet game,1-0,1547,1285,4,-5,A00,Van't Kruijs Opening,60+0,Time forfeit,4000
Rated Bullet game,0-1,1388,1651,-4,6,C00,French Defense: Normal Variation,0+1,Time forfeit,4002
Rated Blitz game,1-0,1348,1159,6,-42,C00,French Defense: King's Indian Attack,300+0,Time forfeit,4003
Rated Bullet game,1-0,1651,1388,6,-4,C20,King's Pawn Game: King's Head Opening #2,0+1,Time forfeit,4004
Rated Blitz game,0-1,1404,1541,-20,7,B01,Scandinavian Defense: Main Line,300+3,Time forfeit,4006
Rated Classical game,0-1,1869,1889,-11,33,B13,Caro-Kann Defense: Exchange Variation,480+2,Time forfeit,4007
Rated Bullet game,1-0,1590,1384,6,-6,C42,Russian Game: Cozio (Lasker) Attack,60+0,Time forfeit,4008
Rated Blitz game,1-0,1345,1384,61,-15,B23,Sicilian Defense: Closed Variation,300+0,Time forfeit,4010
Rated Bullet game,1-0,1657,1361,6,-4,A00,Mieses Opening,0+1,Time forfeit,4011
Rated Classical game,1-0,1301,1112,6,-16,B01,Scandinavian Defense: Mieses-Kotroc Variation,540+0,Normal,4012
Rated Bullet game,1-0,1550,1194,3,-20,C23,Bishop's Opening,60+0,Normal,4013
Rated Bullet game,1-0,1251,1174,11,-54,C30,King's Gambit,120+0,Time forfeit,4014
Rated Bullet game,1-0,1716,1357,3,-3,A00,Saragossa Opening,0+1,Time forfeit,4015
Rated Bullet game,1-0,1663,1378,5,-4,A00,Mieses Opening: Reversed Rat,0+1,Time forfeit,4016
Rated Bullet game,1-0,1668,1354,5,-4,A00,Mieses Opening,0+1,Time forfeit,4018
Rated Bullet game,1-0,1262,1374,20,-16,C31,"King's Gambit, Falkbeer Countergambit Accepted",60+0,Time forfeit,4019
Rated Blitz game,0-1,1682,1429,-20,19,B06,Robatsch (Modern) Defense,300+0,Normal,4020
Rated Bullet game,1-0,1374,1262,8,-10,A03,Bird Opening: Dutch Variation,60+0,Time forfeit,4021
Rated Blitz game,0-1,1354,1421,-9,10,C00,French Defense: King's Indian Attack,300+0,Normal,4022
Rated Classical game,0-1,1184,1315,-43,7,A00,Saragossa Opening,480+8,Normal,4024
Rated Bullet game,1-0,1252,1382,20,-16,C33,"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Variation",60+0,Normal,4026
Rated Blitz game,0-1,1345,1431,-9,9,C00,French Defense: King's Indian Attack,300+0,Normal,4027
Rated Blitz game,0-1,1440,1336,-15,15,A00,Van't Kruijs Opening,300+0,Normal,4030
Rated Blitz game,1-0,1548,1384,6,-16,A44,Old Benoni Defense,300+3,Time forfeit,4031
Rated Bullet game,1-0,1366,1272,9,-11,A03,Bird Opening: Dutch Variation,60+0,Time forfeit,4032
Rated Bullet game,1-0,1548,1103,2,-3,C00,French Defense #2,60+0,Time forfeit,4033
Rated Bullet game,1-0,1719,1316,3,-3,A00,Saragossa Opening,0+1,Time forfeit,4035
Rated Bullet game,1-0,1261,1375,19,-16,C33,"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Variation",60+0,Time forfeit,4036
Rated Bullet game,1-0,1673,1313,4,-3,A00,Van't Kruijs Opening,0+1,Time forfeit,4037
Rated Blitz game,1-0,1351,1492,15,-16,A00,Mieses Opening: Reversed Rat,300+0,Time forfeit,4039
Rated Bullet game,1-0,1359,1280,9,-11,A03,Bird Opening: Dutch Variation,60+0,Time forfeit,4040
Rated Classical game,1-0,1612,1858,18,-20,A00,Hungarian Opening,480+2,Normal,4042
Rated Bullet game,1-0,1550,1100,2,-2,C00,French Defense #2,60+0,Time forfeit,4043
Rated Bullet game,1-0,1552,1098,2,-2,A00,Van't Kruijs Opening,60+0,Time forfeit,4046
Rated Blitz game,0-1,1242,1464,-5,5,B07,King's Pawn Game: Maroczy Defense,60+10,Normal,4048
Rated Blitz game,0-1,1941,1823,-12,104,C00,French Defense: Knight Variation,180+0,Normal,4049
Rated Bullet game,1-0,1350,1677,23,-29,A00,Hungarian Opening,0+3,Normal,4050
Rated Blitz game,1-0,1929,1834,8,-8,C00,French Defense: Knight Variation,180+0,Time forfeit,4051
Rated Blitz game,0-1,1366,1796,-2,2,A00,Mieses Opening,300+0,Normal,4053
Rated Classical game,1-0,1322,1141,7,-31,C00,French Defense: Normal Variation,480+8,Normal,4055
Rated Bullet game,0-1,1500,1368,-253,11,E77,King's Indian Defense: Six Pawns Attack,60+0,Time forfeit,4057
Rated Bullet game,1-0,1648,1349,6,-44,A01,Nimzo-Larsen Attack: Modern Variation #2,0+1,Time forfeit,4059
Rated Bullet game,0-1,1280,1359,-11,9,C28,Vienna Game: Vienna Gambit,60+0,Normal,4061
Rated Blitz game,1-0,1881,1626,5,-6,B52,"Sicilian Defense: Canal Attack, Main Line",180+3,Normal,4062
Rated Bullet game,1-0,1373,1722,24,-22,A00,Hungarian Opening,0+3,Normal,4063
Rated Bullet game,0-1,1519,2162,-1,0,A00,Van't Kruijs Opening,120+0,Normal,4065
Rated Bullet game,0-1,1379,1654,-5,6,A02,Bird Opening,60+0,Normal,4066
Rated Blitz game,0-1,1364,1476,-8,7,A00,Mieses Opening,300+0,Normal,4068
Rated Bullet game,1-0,1573,1328,5,-43,A00,Van't Kruijs Opening,60+0,Time forfeit,4069
Rated Bullet game,0-1,1518,1385,-18,18,A00,Van't Kruijs Opening,0+3,Time forfeit,4071
Rated Bullet game,0-1,2162,1989,-22,16,D02,Queen's Pawn Game: Zukertort Variation,60+1,Normal,4072
Rated Classical game,0-1,1500,1442,-206,10,A00,Van't Kruijs Opening,1200+10,Time forfeit,4073
Rated Bullet game,0-1,1397,1443,-12,10,A00,Hungarian Opening,0+3,Time forfeit,4076
Rated Bullet game,1-0,1277,1374,47,-14,E91,King's Indian Defense: Orthodox Variation,60+0,Time forfeit,4079
Rated Bullet game,0-1,1700,1403,-22,22,A01,Nimzo-Larsen Attack: Symmetrical Variation,0+3,Normal,4080
Rated Bullet game,1-0,1578,1448,8,-13,C41,Philidor Defense #3,60+0,Normal,4082
Rated Bullet game,0-1,2005,2140,-7,10,A06,Nimzowitsch-Larsen Attack,120+0,Normal,4084
Rated Bullet game,1-0,1435,2045,35,-107,D00,Queen's Pawn Game #2,120+0,Normal,4085
Rated Bullet game,0-1,2150,1998,-22,15,A46,Indian Game: Czech-Indian,120+0,Normal,4086
Rated Bullet game,0-1,1726,1425,-19,23,B06,Modern Defense: Three Pawns Attack,60+1,Time forfeit,4087
Rated Blitz game,0-1,1625,1880,-5,4,D00,Queen's Pawn Game: Chigorin Variation,300+0,Normal,4089
Rated Classical game,0-1,1655,1329,-20,21,C41,Philidor Defense: Exchange Variation #2,480+8,Time forfeit,4092
Rated Blitz game,0-1,1356,1483,-7,8,A00,Mieses Opening,300+0,Normal,4093
Rated Bullet game,0-1,1586,1938,-3,13,B00,Caro-Kann Defense: Hillbilly Attack,60+0,Time forfeit,4094
Rated Blitz game,1-0,1545,1273,4,-4,C42,Russian Game: Three Knights Game,300+0,Time forfeit,4095
Rated Bullet game,0-1,2128,2013,-19,15,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",120+0,Time forfeit,4096
Rated Classical game,0-1,1446,1621,-6,6,C23,Bishop's Opening,300+8,Normal,4097
Rated Blitz game,0-1,1620,1884,-4,5,D00,Queen's Pawn Game: Chigorin Variation,300+0,Normal,4099
Rated Bullet game,1-0,1583,1448,8,-9,B06,Modern Defense,60+0,Time forfeit,4100
Rated Blitz game,1-0,1349,1491,16,-16,A00,Hungarian Opening,300+0,Normal,4101
Rated Blitz game,1-0,1549,1428,7,-8,C55,Italian Game: Anti-Fried Liver Defense,300+0,Normal,4104
Rated Blitz game,0-1,1727,1448,-43,19,A40,Modern Defense,180+0,Time forfeit,4105
Rated Blitz game,0-1,1117,1237,-46,7,A06,Zukertort Opening: Reversed Mexican Defense,60+10,Normal,4106
Rated Bullet game,1/2-1/2,1591,1324,-7,22,C00,French Defense #2,60+0,Normal,4109
Rated Classical game,1-0,1307,1352,14,-12,C44,Scotch Game,540+0,Normal,4110
Rated Blitz game,0-1,1889,1616,-20,20,A08,King's Indian Attack,300+0,Time forfeit,4111
Rated Classical game,1-0,1583,1294,4,-46,C30,King's Gambit: Panteldakis Countergambit,600+0,Normal,4113
Rated Bullet game,1-0,1584,1346,5,-14,C00,French Defense: Knight Variation,60+0,Time forfeit,4114
Rated Classical game,1-0,1994,1618,2,-4,D06,Queen's Gambit Refused: Marshall Defense,480+15,Normal,4115
Rated Bullet game,1-0,1589,1332,5,-12,A00,Van't Kruijs Opening,60+0,Time forfeit,4120
Rated Blitz game,0-1,1742,1886,-7,7,C21,"Danish Gambit Declined, Sorensen Defense",180+3,Time forfeit,4122
Rated Classical game,1-0,1787,1248,9,-14,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1320+8,Normal,4128
Rated Classical game,0-1,1321,1836,-1,2,B10,Caro-Kann Defense,540+0,Normal,4131
Rated Blitz game,1-0,1244,1071,7,-33,B00,Barnes Defense,60+10,Normal,4132
Rated Bullet game,1-0,1439,1339,10,-9,A00,Hungarian Opening: Sicilian Invitation,0+3,Time forfeit,4135
Rated Blitz game,0-1,1467,1893,-2,2,A00,Hungarian Opening: Indian Defense,180+3,Normal,4136
Rated Blitz game,1-0,1552,1193,3,-15,C42,Russian Game: Urusov Gambit,300+0,Time forfeit,4138
Rated Classical game,0-1,1996,1500,-15,537,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",480+15,Time forfeit,4142
Rated Blitz game,0-1,1895,1465,-22,23,C00,French Defense: Normal Variation,180+3,Normal,4145
Rated Bullet game,1-0,1673,1337,5,-32,A01,Nimzo-Larsen Attack,0+1,Time forfeit,4147
Rated Bullet game,1-0,1269,1360,17,-15,B06,Robatsch (Modern) Defense,120+0,Normal,4148
Rated Blitz game,1-0,1491,1207,4,-5,B00,Nimzowitsch Defense: Pseudo-Spanish Variation,300+3,Normal,4149
Rated Classical game,0-1,1234,1796,-12,7,A00,Van't Kruijs Opening,1320+8,Normal,4151
Rated Classical game,0-1,1752,2016,-4,11,A46,Indian Game: London System,300+8,Time forfeit,4152
Rated Bullet game,0-1,1066,1345,-27,4,C21,Center Game #2,60+0,Time forfeit,4153
Rated Bullet game,1-0,1286,1349,16,-13,C33,"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Variation",60+0,Time forfeit,4155
Rated Bullet game,1-0,1680,1336,3,-4,C20,King's Pawn Game: Leonardis Variation,0+1,Normal,4163
Rated Bullet game,1-0,1678,1336,4,-4,A00,Van't Kruijs Opening,0+1,Time forfeit,4164
Rated Classical game,0-1,1638,1898,-5,4,B32,Sicilian Defense: Open #3,540+5,Normal,4166
Rated Blitz game,0-1,2041,1873,-17,17,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",180+3,Normal,4169
Rated Bullet game,1-0,1686,1320,4,-7,A00,Mieses Opening,0+1,Time forfeit,4174
Rated Blitz game,0-1,1951,2044,-8,8,A04,Zukertort Opening: Polish Defense,180+0,Normal,4176
Rated Blitz game,1-0,1937,2059,14,-15,B02,Alekhine Defense: Scandinavian Variation,180+0,Time forfeit,4178
Rated Classical game,0-1,1633,2027,-3,6,B44,Sicilian Defense: Paulsen Variation,300+8,Normal,4181
Rated Bullet game,1-0,1682,1332,4,-3,A00,Gedult's Opening,0+1,Time forfeit,4183
Rated Classical game,1-0,1434,1096,3,-8,C42,Russian Game: Three Knights Game,660+5,Normal,4184
Rated Bullet game,1-0,1329,1196,8,-10,A02,Bird Opening: From's Gambit,60+0,Time forfeit,4186
Rated Bullet game,0-1,1337,1428,-9,25,A03,Bird Opening: Dutch Variation,60+0,Time forfeit,4187
Rated Classical game,0-1,1320,1350,-12,11,C44,Scotch Game,540+0,Normal,4188
Rated Bullet game,0-1,1313,1328,-27,12,D06,Queen's Gambit Refused: Marshall Defense,60+0,Time forfeit,4193
Rated Bullet game,1-0,1690,1305,3,-25,C20,King's Pawn Game: Leonardis Variation,0+1,Time forfeit,4196
Rated Blitz game,0-1,1943,2052,-7,8,A88,"Dutch Defense: Leningrad Variation, Warsaw Variation",180+0,Normal,4197
Rated Bullet game,0-1,1500,1340,-274,10,C42,Russian Game: Cozio (Lasker) Attack,60+0,Time forfeit,4204
Rated Classical game,0-1,1567,1902,-19,4,B20,Sicilian Defense,540+5,Normal,4206
Rated Blitz game,1-0,1340,1420,14,-14,A00,Mieses Opening,300+0,Time forfeit,4207
Rated Classical game,0-1,1859,1689,-47,15,C42,Russian Game: Three Knights Game,300+5,Normal,4208
Rated Bullet game,0-1,2028,2109,-9,11,B10,Caro-Kann Defense,120+0,Normal,4209
Rated Classical game,1-0,1906,1646,4,-4,C61,Ruy Lopez: Bird Variation,540+5,Normal,4212
Rated Bullet game,1-0,1286,1350,32,-13,A42,Modern Defense: Averbakh Variation,60+0,Normal,4214
Rated Bullet game,1-0,2120,2019,10,-8,D02,Queen's Pawn Game: Chigorin Variation,120+0,Time forfeit,4215
Rated Bullet game,0-1,1337,1318,-13,26,A02,Bird Opening,60+0,Time forfeit,4218
Rated Classical game,0-1,1535,2033,-6,4,B45,Sicilian Defense: Four Knights Variation,300+8,Normal,4221
Rated Classical game,0-1,1312,1313,-14,11,A00,Grob Opening,900+10,Normal,4222
Rated Blitz game,0-1,1160,1167,-16,50,D00,Queen's Pawn Game,240+2,Time forfeit,4224
Rated Bullet game,1-0,1324,1344,13,-25,A02,Bird Opening,60+0,Time forfeit,4225
Rated Blitz game,1-0,1936,2060,14,-14,C47,"Four Knights Game: Italian Variation, Noa Gambit",180+0,Normal,4226
Rated Bullet game,1-0,1319,1337,24,-13,D07,Queen's Gambit Refused: Chigorin Defense #3,60+0,Time forfeit,4232
Rated Bullet game,0-1,1324,1676,-2,4,A02,Bird Opening,60+0,Time forfeit,4236
Rated Blitz game,0-1,2064,1676,-26,20,D00,Queen's Pawn Game #2,240+0,Time forfeit,4238
Rated Classical game,1-0,1299,1168,8,-8,A10,English Opening: Anglo-Scandinavian Defense,840+0,Time forfeit,4240
Rated Classical game,0-1,1308,1699,-2,3,C00,French Defense: Knight Variation,540+0,Time forfeit,4256
Rated Classical game,0-1,1307,1353,-11,10,B10,"Caro-Kann Defense: Accelerated Panov Attack, Open Variation",720+0,Normal,4257
Rated Bullet game,1-0,1688,1343,4,-6,A00,Saragossa Opening,0+1,Time forfeit,4258
Rated Classical game,0-1,1088,1308,-12,9,A80,Dutch Defense,420+8,Normal,4261
Rated Blitz game,1-0,1534,1197,3,-3,C40,King's Pawn Game: McConnell Defense,300+0,Time forfeit,4262
Rated Classical game,0-1,1529,2037,-4,3,B45,"Sicilian Defense: Four Knights Variation, Exchange Variation",300+8,Time forfeit,4263
Rated Bullet game,1-0,1692,1322,3,-3,A00,Saragossa Opening,60+0,Time forfeit,4264
Rated Classical game,1-0,1383,1324,10,-9,B00,Owen Defense,900+10,Normal,4276
Rated Classical game,1-0,1293,1419,21,-15,C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",300+12,Normal,4280
Rated Blitz game,1-0,1408,1038,3,-12,A00,Van't Kruijs Opening,300+0,Normal,4283
Rated Classical game,1-0,1314,1222,10,-69,C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",300+12,Time forfeit,4289
Rated Bullet game,1-0,1579,1226,3,-37,B20,Sicilian Defense: Bowdler Attack,60+0,Time forfeit,4290
Rated Blitz game,1-0,1776,1978,30,-17,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",180+0,Normal,4298
Rated Classical game,1-0,2040,1710,8,-4,B30,Sicilian Defense: Old Sicilian,300+8,Time forfeit,4302
Rated Blitz game,1-0,1961,1771,6,-6,C64,Ruy Lopez: Classical Variation,180+0,Time forfeit,4309
Rated Classical game,1-0,1340,1431,13,-24,C44,King's Knight Opening: Normal Variation,480+0,Normal,4316
Rated Blitz game,1/2-1/2,1890,1806,-3,4,C55,"Italian Game: Two Knights Defense, Max Lange Attack, Krause Variation",180+3,Normal,4319
Rated Bullet game,0-1,1951,2011,-38,9,C50,"Italian Game: Giuoco Pianissimo, Canal Variation",60+1,Normal,4323
Rated Bullet game,1-0,2037,1828,6,-6,B40,Sicilian Defense: French Variation,60+0,Time forfeit,4325
Rated Classical game,1-0,1825,1936,14,-92,B04,"Alekhine Defense: Modern Variation, Larsen Variation",600+0,Time forfeit,4331
Rated Blitz game,0-1,1950,2046,-8,8,A04,Zukertort Opening: Dutch Variation,180+0,Normal,4337
Rated Classical game,0-1,1153,1407,-31,8,A00,Van't Kruijs Opening,480+0,Time forfeit,4344
